Method,Genre,Decade,Topic
LDA,Pop,70s,"0.026*""not"" + 0.024*""love"" + 0.014*""know"" + 0.012*""go"" + 0.011*""come"""
LDA,Pop,70s,"0.028*""not"" + 0.021*""love"" + 0.011*""go"" + 0.010*""get"" + 0.009*""know"""
LDA,Pop,70s,"0.026*""not"" + 0.019*""love"" + 0.012*""know"" + 0.010*""get"" + 0.010*""want"""
LDA,Pop,70s,"0.026*""love"" + 0.025*""not"" + 0.012*""come"" + 0.011*""verse"" + 0.011*""know"""
LDA,Pop,70s,"0.025*""not"" + 0.020*""love"" + 0.013*""know"" + 0.010*""come"" + 0.010*""go"""
LDA,Pop,80s,"0.030*""not"" + 0.027*""love"" + 0.013*""know"" + 0.012*""chorus"" + 0.012*""come"""
LDA,Pop,80s,"0.025*""love"" + 0.021*""know"" + 0.021*""not"" + 0.012*""verse"" + 0.010*""come"""
LDA,Pop,80s,"0.031*""not"" + 0.022*""love"" + 0.013*""know"" + 0.012*""chorus"" + 0.011*""verse"""
LDA,Pop,80s,"0.033*""not"" + 0.018*""love"" + 0.014*""chorus"" + 0.014*""know"" + 0.011*""come"""
LDA,Pop,80s,"0.018*""not"" + 0.014*""know"" + 0.014*""love"" + 0.011*""chorus"" + 0.011*""come"""
LDA,Pop,90s,"0.030*""not"" + 0.022*""love"" + 0.014*""know"" + 0.013*""chorus"" + 0.012*""verse"""
LDA,Pop,90s,"0.031*""not"" + 0.018*""love"" + 0.013*""chorus"" + 0.013*""know"" + 0.012*""verse"""
LDA,Pop,90s,"0.021*""not"" + 0.017*""love"" + 0.013*""know"" + 0.012*""get"" + 0.011*""chorus"""
LDA,Pop,90s,"0.028*""not"" + 0.015*""chorus"" + 0.015*""love"" + 0.013*""know"" + 0.012*""verse"""
LDA,Pop,90s,"0.025*""not"" + 0.018*""know"" + 0.017*""love"" + 0.013*""verse"" + 0.011*""chorus"""
LDA,Pop,00s,"0.032*""not"" + 0.018*""know"" + 0.015*""love"" + 0.012*""chorus"" + 0.012*""verse"""
LDA,Pop,00s,"0.040*""not"" + 0.019*""know"" + 0.019*""love"" + 0.014*""chorus"" + 0.011*""verse"""
LDA,Pop,00s,"0.032*""not"" + 0.017*""love"" + 0.016*""know"" + 0.014*""chorus"" + 0.013*""get"""
LDA,Pop,00s,"0.036*""not"" + 0.019*""love"" + 0.012*""know"" + 0.011*""yeah"" + 0.011*""get"""
LDA,Pop,00s,"0.026*""not"" + 0.019*""love"" + 0.017*""know"" + 0.015*""chorus"" + 0.012*""yeah"""
LDA,Pop,10s,"0.038*""not"" + 0.026*""know"" + 0.024*""love"" + 0.014*""chorus"" + 0.012*""yeah"""
LDA,Pop,10s,"0.047*""not"" + 0.021*""love"" + 0.017*""chorus"" + 0.015*""know"" + 0.013*""yeah"""
LDA,Pop,10s,"0.035*""not"" + 0.021*""know"" + 0.021*""love"" + 0.020*""yeah"" + 0.016*""get"""
LDA,Pop,10s,"0.046*""not"" + 0.019*""know"" + 0.016*""chorus"" + 0.016*""verse"" + 0.016*""yeah"""
LDA,Pop,10s,"0.033*""not"" + 0.020*""know"" + 0.017*""yeah"" + 0.016*""chorus"" + 0.015*""love"""
LDA,Pop,20s,"0.031*""not"" + 0.022*""know"" + 0.019*""love"" + 0.015*""chorus"" + 0.015*""yeah"""
LDA,Pop,20s,"0.044*""not"" + 0.021*""know"" + 0.021*""love"" + 0.021*""yeah"" + 0.016*""chorus"""
LDA,Pop,20s,"0.032*""not"" + 0.022*""yeah"" + 0.015*""know"" + 0.015*""verse"" + 0.015*""love"""
LDA,Pop,20s,"0.040*""not"" + 0.020*""chorus"" + 0.019*""know"" + 0.018*""yeah"" + 0.013*""love"""
LDA,Pop,20s,"0.043*""not"" + 0.022*""know"" + 0.018*""chorus"" + 0.017*""verse"" + 0.015*""love"""
