Method,Genre,Decade,Topic
BERT,Rap,70s,"[('eva', 0.14631422448447456), ('peron', 0.07444567223673429), ('buenos', 0.06731907333580772), ('aires', 0.06731907333580772), ('argentina', 0.05983773937911943), ('magaldi', 0.05793570493759827), ('che', 0.05708173871720928), ('ch', 0.05175479244730074), ('one', 0.047208248540838424), ('im', 0.03834571977761422)]"
BERT,Rap,70s,"[('love', 0.05194760928458131), ('im', 0.0355852958031861), ('dont', 0.03202769745392841), ('know', 0.02994262071144814), ('verse', 0.029833309387392704), ('got', 0.028328225945621652), ('go', 0.027348493470344834), ('chorus', 0.02569089565971871), ('baby', 0.02537624209888), ('one', 0.024240597925433826)]"
BERT,Rap,70s,"[('christmas', 0.4624367459056178), ('merry', 0.2381375246792755), ('wish', 0.13743474413019355), ('happy', 0.11346027824512381), ('mister', 0.10043221912776018), ('snow', 0.09800969139748746), ('holidays', 0.08929020790771136), ('miser', 0.08257585331448153), ('lord', 0.08038314574397806), ('someday', 0.06818065488520866)]"
BERT,Rap,80s,"[('christmas', 0.11768806612362741), ('talk', 0.08751885135983158), ('try', 0.06315418089160117), ('love', 0.058960082197321566), ('george', 0.05489805509651929), ('jah', 0.04923997770830243), ('youre', 0.04421286594241754), ('gahan', 0.03897880776826663), ('dave', 0.038597673302200784), ('heart', 0.035816385164963466)]"
BERT,Rap,80s,"[('love', 0.044026730252444204), ('im', 0.03460184178196482), ('dont', 0.03313309425460181), ('chorus', 0.03264217640685081), ('know', 0.03230770898067112), ('verse', 0.030493273493997088), ('got', 0.02596626662382602), ('baby', 0.02543231711723633), ('na', 0.024625218712008845), ('time', 0.02405855885418907)]"
BERT,Rap,80s,"[('woods', 0.1047754404141516), ('cinderella', 0.1012189517806593), ('baker', 0.09834833764816502), ('wife', 0.07764243952602475), ('narrator', 0.07577776420170344), ('spoken', 0.06819447971694821), ('prince', 0.06499085555632957), ('joseph', 0.060287471111977735), ('jack', 0.06012930116923796), ('go', 0.05884742040575909)]"
BERT,Rap,80s,"[('christine', 0.15708805349911212), ('phantom', 0.11977998021890711), ('raoul', 0.11838127515348358), ('firmin', 0.08913413697176051), ('andre', 0.07479195303213439), ('carlotta', 0.06195740491296559), ('giry', 0.05862851014019121), ('angel', 0.05828309836164005), ('opera', 0.04649538400201942), ('music', 0.037136309265938326)]"
BERT,Rap,80s,"[('marius', 0.15185477793075405), ('valjean', 0.11928506548739647), ('cosette', 0.09606548012820192), ('thenardier', 0.07915474147924217), ('eponine', 0.07874883606955436), ('javert', 0.06656190719353522), ('look', 0.042170986962457635), ('heres', 0.04099733356568392), ('god', 0.03945050611216676), ('life', 0.03869229807423836)]"
BERT,Rap,90s,"[('im', 0.02434945525570264), ('dont', 0.023950267623136404), ('love', 0.022957580009026222), ('man', 0.022214550867041556), ('chorus', 0.021199655340371396), ('verse', 0.02105154508873478), ('know', 0.020763700196336495), ('want', 0.019766741763165226), ('life', 0.017672563382811146), ('one', 0.016921596594272503)]"
BERT,Rap,90s,"[('love', 0.06802931052528413), ('chorus', 0.038648930166271925), ('verse', 0.03458498582795502), ('let', 0.03119760180308694), ('feel', 0.03119112262492256), ('alone', 0.03011004008835309), ('time', 0.029096614650441745), ('wan', 0.02812206247465915), ('na', 0.027238554013471087), ('always', 0.02707797526339583)]"
BERT,Rap,90s,"[('fix', 0.10448558320921825), ('sometimes', 0.10205643528147272), ('something', 0.09795467465219579), ('dont', 0.03251357075159369), ('im', 0.029107137446588698), ('human', 0.02009782098089514), ('aint', 0.020000223453574554), ('got', 0.01909647681389922), ('say', 0.018383524740808913), ('make', 0.016913908484021127)]"
BERT,Rap,90s,"[('baby', 0.09304678075402777), ('love', 0.059338710066927404), ('dont', 0.045737447140477415), ('know', 0.04352244242726859), ('give', 0.040031037156422776), ('wants', 0.03600379555238528), ('na', 0.03589749736903438), ('yeah', 0.032612751975683106), ('ooh', 0.03093796169147862), ('lie', 0.028446977169074055)]"
BERT,Rap,90s,"[('bright', 0.051196724202720395), ('day', 0.045752723543971974), ('sky', 0.04034489143329765), ('one', 0.037920348435766076), ('moon', 0.029374159931342195), ('verse', 0.028384735671869245), ('sun', 0.02782155065920059), ('high', 0.027466388409311263), ('star', 0.026055350616389267), ('flying', 0.025672557751708482)]"
BERT,Rap,90s,"[('dance', 0.044800280544127546), ('got', 0.03130847143272242), ('come', 0.02811103807935544), ('groove', 0.026412867183924545), ('move', 0.02511101175328941), ('ah', 0.024386893734480223), ('everybody', 0.024060715854370987), ('ring', 0.024035564431752535), ('ay', 0.023702823085611047), ('yeah', 0.023489904642358013)]"
BERT,Rap,90s,"[('christmas', 0.15555962611887852), ('merry', 0.06847896254862425), ('santa', 0.04616872465428323), ('year', 0.041988515877943465), ('happy', 0.037893022202983906), ('ho', 0.03634196153547942), ('mark', 0.036130810493033426), ('tree', 0.03053480257457256), ('roger', 0.030406801398686806), ('bring', 0.025327662007457695)]"
BERT,Rap,90s,"[('god', 0.0997204967252811), ('power', 0.05238782526766279), ('nothing', 0.04739412734255373), ('hard', 0.04550484664908756), ('belongs', 0.04342240005881416), ('verse', 0.0393786286408444), ('chorus', 0.03761814616781577), ('stand', 0.037455754956821886), ('matter', 0.03697862952456895), ('da', 0.03603280845138115)]"
BERT,Rap,90s,"[('love', 0.08181528113744169), ('letting', 0.047054378673973885), ('know', 0.04408198434902849), ('tumbling', 0.04070684948020974), ('heart', 0.03732705623393737), ('ah', 0.033597968692268824), ('never', 0.033079495313431906), ('ever', 0.03287572600198965), ('perhaps', 0.03228959505746645), ('cant', 0.03209468622933069)]"
BERT,Rap,90s,"[('lord', 0.2051726807426521), ('holy', 0.10013971461715246), ('praise', 0.08290570298253547), ('name', 0.0769073745718867), ('lift', 0.06729721053950298), ('lamb', 0.06464736780393569), ('worship', 0.06243827231243559), ('throne', 0.05854700573562059), ('hallowed', 0.05752844688411081), ('serve', 0.055336792255512975)]"
BERT,Rap,90s,"[('bog', 0.09438345488059831), ('oie', 0.07281018982841404), ('larry', 0.06809525304306482), ('rattlin', 0.05343469287140907), ('valleyo', 0.0523645158942374), ('happy', 0.0501791438186525), ('tree', 0.04893191174835986), ('chicka', 0.048023471596498626), ('yummy', 0.04779058709755195), ('joy', 0.045365217027506975)]"
BERT,Rap,90s,"[('cant', 0.10313024536857286), ('give', 0.05324472105979162), ('live', 0.04973819641868395), ('life', 0.04410388956423006), ('day', 0.04084954621590178), ('living', 0.03989931558955214), ('forget', 0.03794888315673952), ('hard', 0.03402764837852192), ('heres', 0.03372348182630316), ('goes', 0.030206554290771195)]"
BERT,Rap,90s,"[('jesus', 0.23013845020510068), ('born', 0.11960793830127654), ('king', 0.0699039762005363), ('pumpum', 0.06755621487929957), ('pum', 0.06755621487929957), ('rum', 0.06704770014765797), ('today', 0.0662262784155825), ('angels', 0.06574645321219504), ('comfort', 0.05808476637671834), ('joy', 0.05524447121786107)]"
BERT,Rap,90s,"[('miss', 0.04998048888268466), ('newsies', 0.03318090981112374), ('spoken', 0.02995994295065798), ('mrs', 0.026852995955463036), ('clopin', 0.02419734881684997), ('girls', 0.023861440360074624), ('group', 0.02313766221389614), ('fife', 0.022419521893963536), ('mackay', 0.022419521893963536), ('school', 0.02030227198295414)]"
BERT,Rap,90s,"[('ba', 0.11053032092333512), ('sexy', 0.10735521970931101), ('baby', 0.0915495081508987), ('du', 0.08460408926957709), ('bop', 0.07293318808363798), ('dop', 0.06001178306000036), ('sex', 0.05258251571377095), ('erotic', 0.04777100445386049), ('bomb', 0.04672586033671202), ('fly', 0.04627122864587884)]"
BERT,Rap,90s,"[('brian', 0.10912681710044717), ('aj', 0.09226238880076905), ('heart', 0.0765549503430723), ('nick', 0.06598190096724738), ('justin', 0.06027891582587693), ('never', 0.052323434958671755), ('jc', 0.05026716757603491), ('give', 0.048625971010962714), ('without', 0.047743787949918515), ('youre', 0.04643295223674649)]"
