Method,Genre,Decade,Topic
BERT,Misc,70s,"[('luke', 0.1184087130598725), ('int', 0.06207260372183709), ('han', 0.06070938635608085), ('star', 0.05162093985574278), ('threepio', 0.04842603233490204), ('cockpit', 0.045837338891751005), ('death', 0.045740514633330814), ('ben', 0.042894590369721236), ('arthur', 0.04094011364557742), ('leia', 0.036141186279824065)]"
BERT,Misc,70s,"[('one', 0.021775976614302785), ('know', 0.017514297427925107), ('said', 0.016915664754614413), ('go', 0.015521871760345063), ('im', 0.015330016226451987), ('would', 0.01520275342625699), ('time', 0.014630998982591008), ('dont', 0.0143371034919167), ('man', 0.013923071988175497), ('black', 0.013617100356005567)]"
BERT,Misc,70s,"[('court', 0.034817758283671785), ('law', 0.026830267303826254), ('state', 0.023184542931509126), ('states', 0.022439814417205554), ('case', 0.019402792881397703), ('see', 0.018812765380932836), ('supra', 0.018586159430240286), ('would', 0.018436240014553643), ('may', 0.016813229847960208), ('property', 0.016321535073234923)]"
BERT,Misc,70s,"[('american', 0.026800254213475976), ('peace', 0.026280728342726847), ('must', 0.023738132490220273), ('new', 0.023442431606894878), ('people', 0.023408887786452535), ('states', 0.023288249009396515), ('government', 0.02313675825524564), ('congress', 0.02298246363467869), ('united', 0.022229720747645895), ('year', 0.021278841715680608)]"
BERT,Misc,70s,"[('michael', 0.11080508111712266), ('corleone', 0.04456541129362575), ('vito', 0.042910939423914704), ('tom', 0.04186937392405789), ('view', 0.0398865844966671), ('kay', 0.03631442779113548), ('sonny', 0.03426775669850661), ('hagen', 0.033900786173853455), ('fredo', 0.030369289889666477), ('clemenza', 0.027390916285932307)]"
BERT,Misc,70s,"[('travis', 0.24523775297128442), ('iris', 0.06525186238193038), ('betsy', 0.03974474892739496), ('taxi', 0.03909743078581907), ('wizard', 0.038806985294695354), ('palantine', 0.03585035437916048), ('man', 0.035170277822392314), ('cab', 0.03503616969606307), ('back', 0.02569250985726025), ('walks', 0.025404651802626813)]"
BERT,Misc,70s,"[('political', 0.042399648608541306), ('state', 0.037627586295301746), ('production', 0.03611505650381392), ('labour', 0.035145942784469815), ('society', 0.03369409807490967), ('capital', 0.03152799520481296), ('man', 0.027502133222739103), ('religion', 0.02683821823151576), ('oppressed', 0.026222117025183914), ('therefore', 0.02510191309835215)]"
BERT,Misc,70s,"[('wwe', 0.27006778189142167), ('champion', 0.20664175135423285), ('championship', 0.13243726566400807), ('time', 0.1212199304239106), ('tag', 0.11118544158595983), ('team', 0.1053721162203351), ('feuds', 0.0819502062096879), ('aliases', 0.0819502062096879), ('finisher', 0.0819502062096879), ('hometown', 0.08088442845099338)]"
BERT,Misc,80s,"[('one', 0.029647130108926882), ('know', 0.02158668957281467), ('dont', 0.021321971870778045), ('said', 0.019710871095614098), ('im', 0.01879655503980775), ('would', 0.01780760674062472), ('people', 0.017100976450511545), ('time', 0.017020355513209403), ('go', 0.01625340864958981), ('got', 0.016141197063638472)]"
BERT,Misc,80s,"[('court', 0.06023247015310577), ('state', 0.04207079288588523), ('see', 0.02958647977018294), ('would', 0.029404764255995704), ('law', 0.027929892923475738), ('case', 0.025808021543512454), ('may', 0.02543929627685942), ('defendant', 0.023680304326565992), ('states', 0.02245949449161317), ('public', 0.02211444943452626)]"
BERT,Misc,90s,"[('dont', 0.014362519504643203), ('one', 0.013704164786385063), ('im', 0.012187147801749162), ('know', 0.011825610529367644), ('man', 0.01124347135801844), ('go', 0.010873581259799637), ('would', 0.010623464040960325), ('people', 0.010551220429229024), ('us', 0.010324759560001466), ('got', 0.01004059027472016)]"
BERT,Misc,90s,"[('love', 0.08223952283152858), ('lord', 0.04448966620259802), ('jesus', 0.03773676625363516), ('let', 0.03192890189866553), ('heart', 0.03133771658532889), ('sing', 0.024998709625481303), ('chorus', 0.023823070110412344), ('rain', 0.02326520785362996), ('whoop', 0.022961761929111965), ('im', 0.022162466258679306)]"
BERT,Misc,90s,"[('simba', 0.03535556199774706), ('belle', 0.024537661994093518), ('beast', 0.019331378825230946), ('scar', 0.016717395121801985), ('gaston', 0.01463592179654904), ('one', 0.014340237436495385), ('timon', 0.013838642742013513), ('back', 0.013455734497371637), ('mufasa', 0.012432412383168511), ('zazu', 0.012206744643440471)]"
BERT,Misc,90s,"[('ross', 0.07347353622552323), ('monica', 0.0676075607655948), ('chandler', 0.06620365458551836), ('rachel', 0.06289853381724007), ('joey', 0.060681699824328646), ('phoebe', 0.05426397320677472), ('know', 0.02866625021195536), ('im', 0.02803429435112413), ('yeah', 0.024130836652430834), ('okay', 0.023976891355351283)]"
BERT,Misc,90s,"[('vincent', 0.04212985792806942), ('mia', 0.033529999012761505), ('know', 0.03170487118692414), ('man', 0.02887600330264827), ('na', 0.02724704123173095), ('got', 0.025790429480928367), ('dont', 0.025077888245865994), ('gon', 0.02250856009703647), ('come', 0.022197133994797846), ('im', 0.02147794620096812)]"
BERT,Misc,90s,"[('harry', 0.04218072581247534), ('henry', 0.039186253266501124), ('jack', 0.034064101412459885), ('kevin', 0.031426692323388926), ('tyler', 0.023153974915324196), ('vo', 0.021930108553887225), ('cut', 0.02162278748964629), ('see', 0.020459087574106832), ('karen', 0.019602225792321883), ('neo', 0.018705897621140898)]"
BERT,Misc,90s,"[('stan', 0.08516218838996618), ('cartman', 0.07995238702849591), ('kyle', 0.0719184664382404), ('mr', 0.04667006572516838), ('chef', 0.04020728632720387), ('garrison', 0.03590042711288789), ('cory', 0.03493331459096067), ('kenny', 0.03137365706850382), ('wendy', 0.02684524664592585), ('jimbo', 0.021100812596711652)]"
BERT,Misc,90s,"[('jerry', 0.10310426537111984), ('george', 0.07288236745332229), ('elaine', 0.06323606347511312), ('kramer', 0.05393603795821707), ('frasier', 0.03570924176534972), ('well', 0.02423420268754176), ('niles', 0.021959637532389026), ('morty', 0.02104757590963804), ('im', 0.0208036676169518), ('martin', 0.020565587227212332)]"
BERT,Misc,90s,"[('said', 0.03957813228218124), ('rat', 0.03237809192708269), ('war', 0.02610397175575759), ('sanders', 0.023243870897911353), ('seemed', 0.018852185349956835), ('azar', 0.01784213107889253), ('one', 0.01672197665358482), ('could', 0.016632357303177525), ('field', 0.01593693241516126), ('kiowa', 0.015486240868910794)]"
BERT,Misc,90s,"[('priest', 0.024016770528134), ('choose', 0.023448901057978675), ('youre', 0.022309394192956643), ('stereotype', 0.02094069141885106), ('could', 0.020458886672234756), ('really', 0.019826043904071493), ('didnt', 0.019644380874544728), ('know', 0.018998889865190636), ('dont', 0.01832489579075739), ('im', 0.018256890843028027)]"
BERT,Misc,90s,"[('nintendo', 0.059508909588272554), ('mankind', 0.04165371206235059), ('ring', 0.03590693015667304), ('match', 0.0357767309517591), ('brother', 0.03478786816442007), ('hogan', 0.03442293446754022), ('hulk', 0.03442293446754022), ('wrestling', 0.030006406509558256), ('wwf', 0.02901155237140858), ('austin', 0.028151621270702507)]"
BERT,Misc,90s,"[('tupac', 0.11244291796506546), ('sanyika', 0.09021175847238365), ('know', 0.05698416484138245), ('im', 0.05425396807126254), ('got', 0.05036432926936011), ('saying', 0.043998076136643915), ('pac', 0.043427216566790126), ('thats', 0.03522392892701116), ('coast', 0.03251283246432464), ('interviewer', 0.028570537214993502)]"
BERT,Misc,90s,"[('kefka', 0.028280450325145548), ('terra', 0.022829968235597284), ('locke', 0.021827332261072252), ('gesthal', 0.021781187345743202), ('capitalism', 0.01984659606378981), ('strago', 0.019671321337844876), ('espers', 0.018344686388030256), ('world', 0.017630850956976415), ('schizophrenic', 0.017470594719071655), ('law', 0.016706806429261537)]"
BERT,Misc,90s,"[('homer', 0.1528161130021867), ('bart', 0.08357149254563725), ('marge', 0.06862152643944386), ('lisa', 0.06694687430835491), ('burns', 0.02792750237374797), ('itchy', 0.02028859188463883), ('poochie', 0.020102834849874233), ('scratchy', 0.01853860871808308), ('dr', 0.01752919146352438), ('moe', 0.017524323151991296)]"
BERT,Misc,90s,"[('christmas', 0.32837466931361553), ('jingle', 0.12003604028018203), ('bells', 0.10239326403999469), ('merry', 0.09127121528604293), ('day', 0.059039008210292655), ('sleigh', 0.05524852136000591), ('beeflog', 0.05339512072008093), ('onehorse', 0.052578912231322834), ('jew', 0.050629806616899815), ('time', 0.04505465037163362)]"
BERT,Misc,90s,"[('change', 0.13920205515742148), ('sometimes', 0.11607085050868286), ('ill', 0.07265552575574016), ('show', 0.06804020857840848), ('solve', 0.06680095262676185), ('little', 0.06194588858133578), ('yeah', 0.055104228509558324), ('way', 0.0533374770844688), ('kick', 0.05252265252988119), ('im', 0.04346000614821824)]"
BERT,Misc,90s,"[('nute', 0.05478637494234146), ('ismay', 0.046513026038683875), ('obiwan', 0.046513026038683875), ('quigon', 0.046513026038683875), ('federation', 0.04555787004253456), ('passengers', 0.044539912357691204), ('captain', 0.04366787607254146), ('pitman', 0.04142292529258843), ('andrews', 0.04069889778384839), ('hartley', 0.03945040504056041)]"
BERT,Misc,00s,"[('know', 0.018839934830888833), ('im', 0.018500123305962065), ('dont', 0.0171227204018365), ('one', 0.014944261494396502), ('got', 0.014349996247116725), ('charlie', 0.01358625404355676), ('dennis', 0.013059683390796753), ('right', 0.012465804157033281), ('youre', 0.012169170327917339), ('go', 0.011744218817912532)]"
BERT,Misc,00s,"[('would', 0.017904521938734458), ('one', 0.016257336619080073), ('eddy', 0.01599210071465205), ('us', 0.014442961474910145), ('way', 0.013090023275192302), ('time', 0.013055113424973211), ('said', 0.012729297018491879), ('could', 0.012579070793275025), ('people', 0.011984042616254511), ('ed', 0.011892127861879287)]"
BERT,Misc,00s,"[('one', 0.019652251718693926), ('light', 0.01894343996276462), ('eyes', 0.016171855646761414), ('hand', 0.016107934981529824), ('white', 0.015314217295213633), ('teeth', 0.014265140938627036), ('back', 0.014223765301056028), ('skin', 0.01357397789594661), ('water', 0.012435738209143206), ('across', 0.012268042097044969)]"
BERT,Misc,00s,"[('lord', 0.13108715638140064), ('jesus', 0.10497069238968507), ('thank', 0.0758261567295072), ('believe', 0.07218754415537938), ('choir', 0.057294687438021304), ('sing', 0.055402574614210255), ('arise', 0.05435271697997494), ('chorus', 0.0543076861099254), ('verse', 0.053831124302402604), ('worship', 0.04833233934495316)]"
BERT,Misc,00s,"[('man', 0.0599732383138667), ('got', 0.03963306204754647), ('im', 0.036812821517982534), ('know', 0.03381842552493707), ('aint', 0.03325105285145625), ('right', 0.029579598613968472), ('na', 0.02691445562982577), ('gon', 0.026664351036322507), ('mcnulty', 0.025552505338604342), ('yeah', 0.024249941134398583)]"
BERT,Misc,00s,"[('love', 0.0637112143441558), ('im', 0.05991145955484625), ('verse', 0.054198622632416836), ('cause', 0.05301947222175723), ('chorus', 0.04894952992125362), ('aint', 0.045803777342397024), ('never', 0.03743632730721762), ('cant', 0.03480619374053546), ('na', 0.034184433080853796), ('got', 0.033871795266308506)]"
BERT,Misc,00s,"[('edmond', 0.08017014490850952), ('love', 0.07234581349264556), ('mercds', 0.047007841992237086), ('dark', 0.03581622818313659), ('albert', 0.034637357257437856), ('maria', 0.03337112170204521), ('heart', 0.03295708658295789), ('allowed', 0.03046045674529605), ('eyes', 0.028456195751942703), ('fall', 0.027834257605800328)]"
BERT,Misc,00s,"[('ted', 0.09907427842650264), ('marshall', 0.05959430786864246), ('robin', 0.05883527399654776), ('barney', 0.05878401313336636), ('lily', 0.057151567038777794), ('pm', 0.036658065463069524), ('im', 0.02969541399434595), ('shrek', 0.025533350823568935), ('know', 0.021952050914244133), ('go', 0.02041552519461752)]"
BERT,Misc,00s,"[('harry', 0.1790913747559617), ('ron', 0.0826332402524377), ('hermione', 0.06667495663191837), ('hagrid', 0.04601369876661552), ('dumbledore', 0.042884620242257185), ('voldemort', 0.02842575726229203), ('potter', 0.02722468538753924), ('madeye', 0.023996840846226372), ('hogwarts', 0.023816074395418413), ('snape', 0.02375371713039239)]"
BERT,Misc,00s,"[('michael', 0.13592338932789796), ('dwight', 0.06910385210748972), ('jim', 0.06367579690904593), ('pam', 0.05702327087696253), ('know', 0.025226811730583224), ('im', 0.024733963388991573), ('dont', 0.023023933388285307), ('bartlet', 0.022039962539327565), ('ok', 0.021634585393076382), ('ryan', 0.0209743531801911)]"
BERT,Misc,00s,"[('troy', 0.06427391578181421), ('johnny', 0.049105092148198706), ('lisa', 0.046062707839210154), ('gabriella', 0.042919606370070834), ('lorelai', 0.041750316437848184), ('sharpay', 0.03708970454637607), ('mark', 0.034689463009489226), ('rory', 0.03425889955568727), ('cut', 0.03072465858307255), ('house', 0.029483697291763998)]"
BERT,Misc,00s,"[('know', 0.0439961670240473), ('im', 0.03840122341420821), ('black', 0.03804577042214255), ('people', 0.030380176863031697), ('see', 0.029973481841898058), ('thats', 0.02950851039451064), ('got', 0.02945626404674688), ('dont', 0.027338723584735516), ('white', 0.02723960773212778), ('na', 0.02712953216675482)]"
BERT,Misc,00s,"[('spoken', 0.17416029103491468), ('goodbye', 0.15427360451912966), ('panch', 0.10296949058847399), ('olive', 0.09647066194781659), ('spellers', 0.09499124997685163), ('foot', 0.09345819168937163), ('magic', 0.08832054479287314), ('second', 0.07576242502741377), ('barfee', 0.07463284649942227), ('pandemonium', 0.07044966217375091)]"
BERT,Misc,00s,"[('horton', 0.22828751973154057), ('gertrude', 0.1860575233118386), ('bird', 0.16152884964620665), ('mayzie', 0.14793228414375412), ('cat', 0.09941098132396325), ('lucky', 0.09619558412782157), ('girls', 0.09464621189263515), ('nest', 0.08960572223204723), ('egg', 0.08959383571080189), ('amayzing', 0.0749417806203526)]"
BERT,Misc,10s,"[('one', 0.027590415630318915), ('im', 0.021880864875949063), ('dont', 0.02067629610270247), ('know', 0.020061873347029763), ('would', 0.016889219723671082), ('time', 0.01651148983230372), ('people', 0.015754972249771116), ('said', 0.015360189072676432), ('got', 0.015124478086233595), ('see', 0.015029482519425012)]"
BERT,Misc,10s,"[('jon', 0.06530406020398845), ('stark', 0.05980870165293803), ('tyrion', 0.05515936055959737), ('cersei', 0.04525380553968389), ('daenerys', 0.04325285107495034), ('sansa', 0.03746124240019253), ('lord', 0.03579187871842192), ('snow', 0.031144332635558998), ('arya', 0.030884626711043577), ('jaime', 0.03001485048426225)]"
BERT,Misc,10s,"[('adnan', 0.09793018181927371), ('koenig', 0.0840461876343296), ('sarah', 0.08325000242630622), ('jay', 0.07701535938691025), ('know', 0.04707465935650467), ('said', 0.04291231899220907), ('says', 0.04031126681643543), ('hae', 0.03825069502023308), ('call', 0.036426616946410445), ('adnans', 0.03221680353018852)]"
BERT,Misc,20s,"[('im', 0.020652303646423658), ('know', 0.01741676883991992), ('one', 0.016303256615382497), ('dont', 0.01553834076945871), ('would', 0.01491863983332064), ('going', 0.01401328430515613), ('said', 0.013423156615571611), ('people', 0.013388598005168683), ('us', 0.013271182718005764), ('time', 0.012417355079030815)]"
BERT,Misc,20s,"[('ft', 0.05079242470068478), ('lil', 0.020060620910935696), ('love', 0.019471795092499983), ('remix', 0.01766560789002085), ('album', 0.016876266434546355), ('new', 0.01683202675882222), ('song', 0.014633329266627627), ('one', 0.010921347440024166), ('demo', 0.010448160043533876), ('feat', 0.009172479990943467)]"
BERT,Misc,20s,"[('im', 0.03782638012065597), ('aint', 0.036030600293920335), ('got', 0.03515759200625611), ('ya', 0.026860478438325976), ('cause', 0.026149207273320537), ('wit', 0.02591385265588698), ('dont', 0.02541106428136872), ('yall', 0.024765779781426238), ('gon', 0.023107841849184456), ('know', 0.022593202936628823)]"
BERT,Misc,20s,"[('tears', 0.02564033343017571), ('come', 0.02244143120204941), ('dont', 0.020250173328790956), ('see', 0.019016961688894458), ('heart', 0.018633946269585932), ('one', 0.018028379232889954), ('hands', 0.017678510060582468), ('past', 0.017613560283279903), ('way', 0.01756093896317921), ('let', 0.017348123971338912)]"
BERT,Misc,20s,"[('please', 0.4138584409126231), ('familyfriendly', 0.1979333593386326), ('inappropriate', 0.1969458326165399), ('importantly', 0.19460080493188764), ('annotate', 0.19370820947671452), ('comments', 0.1924136770942161), ('avoid', 0.19036456631072446), ('topic', 0.18697355154605083), ('creating', 0.18661774403296097), ('annotation', 0.18231581004744482)]"
BERT,Misc,20s,"[('im', 0.06557400331479608), ('love', 0.05869945688982875), ('dont', 0.058672164322291685), ('chorus', 0.0552979456490529), ('verse', 0.051469868645263844), ('know', 0.04017292601222693), ('yeah', 0.03600448237265726), ('leave', 0.034956720958005116), ('time', 0.031145444126932487), ('cant', 0.02962546026471203)]"
BERT,Misc,20s,"[('genius', 0.055931240808165486), ('song', 0.029709980292274753), ('benrodz', 0.027677266486651655), ('community', 0.022695911789454726), ('music', 0.02213428158807533), ('korean', 0.02184585418625142), ('page', 0.021658149893068118), ('artists', 0.020333419732479017), ('translation', 0.0199075457165776), ('songs', 0.01887425017466956)]"
BERT,Misc,20s,"[('th', 0.2684936960457266), ('feature', 0.16242204893610276), ('december', 0.07993595632859538), ('st', 0.0793197346938797), ('october', 0.07446130680971236), ('november', 0.07428226488095806), ('june', 0.06941229504431519), ('may', 0.06856493421958898), ('september', 0.06704695702215736), ('july', 0.06699750356049923)]"
BERT,Misc,20s,"[('feat', 0.10240334736481004), ('worship', 0.06503172328444246), ('live', 0.051751270532530064), ('music', 0.02915296242970912), ('jesus', 0.020532670284818956), ('love', 0.019937169482491846), ('psalm', 0.013509715834061882), ('grace', 0.013274483200966906), ('king', 0.012443087943427055), ('john', 0.011968704640790273)]"
BERT,Misc,20s,"[('badalamenti', 0.027073882559152374), ('indriolo', 0.02665981127250217), ('know', 0.025393065929427635), ('people', 0.025186880636729216), ('michael', 0.023348174514544632), ('tony', 0.023214134522962435), ('mickey', 0.020735408767501688), ('dont', 0.01818390534636603), ('way', 0.017851221652555357), ('trump', 0.01782630444789197)]"
BERT,Misc,20s,"[('hurt', 0.061772093641401), ('friend', 0.05420797527951411), ('would', 0.05199552038803244), ('know', 0.048806487839271995), ('dont', 0.046656914184449505), ('loved', 0.043977711553076324), ('want', 0.04162291355794361), ('wish', 0.040041215483540143), ('die', 0.03999307987341362), ('never', 0.03810092588810567)]"
BERT,Misc,20s,"[('spoken', 0.1449138317090928), ('nerd', 0.08891763432848238), ('skull', 0.08247918947555467), ('face', 0.07817557222266189), ('emojis', 0.06367026454743635), ('smize', 0.05533373474961526), ('sunny', 0.05161003256594428), ('princess', 0.038197234539907254), ('woah', 0.03565498668524271), ('design', 0.035593125907547776)]"
