Method,Genre,Decade,Topic
BERT,Pop,70s,"[('eva', 0.142953783674651), ('peron', 0.08101281089378434), ('aires', 0.07326107047103483), ('buenos', 0.07326107047103483), ('argentina', 0.06511894804914344), ('che', 0.062120561806527363), ('magaldi', 0.055169498255999455), ('one', 0.04343039759572208), ('im', 0.04341769867152557), ('supporters', 0.04172715614774882)]"
BERT,Pop,70s,"[('love', 0.05224477199199451), ('im', 0.03585244064200059), ('dont', 0.03228946855945906), ('know', 0.030118194930407436), ('verse', 0.029953385865196903), ('got', 0.028443356235971076), ('go', 0.027488711115498717), ('chorus', 0.025912070940536443), ('baby', 0.02548121531706029), ('one', 0.024574869935612524)]"
BERT,Pop,70s,"[('christmas', 0.48398343964629287), ('merry', 0.25520595458324263), ('wish', 0.14727000051902495), ('happy', 0.12157232741178164), ('snow', 0.10504120084854636), ('holidays', 0.09570639116277284), ('lord', 0.08612345141904289), ('someday', 0.0730721397207279), ('step', 0.06626810411171054), ('year', 0.0639381222556369)]"
BERT,Pop,80s,"[('im', 0.027549084533387728), ('love', 0.027544033814841037), ('verse', 0.023624867200107), ('chorus', 0.023490203527656284), ('know', 0.020188931698882587), ('dont', 0.020080054771271474), ('never', 0.0178071177138022), ('youre', 0.017196501329852842), ('day', 0.016392273049931752), ('time', 0.015237420043960085)]"
BERT,Pop,80s,"[('hot', 0.030044091086662717), ('got', 0.024176933285342702), ('na', 0.022135312319463894), ('come', 0.01930872643534591), ('dont', 0.01875276551321435), ('go', 0.018465117890459876), ('yeah', 0.018018101177551673), ('dance', 0.017852398191488525), ('wan', 0.01766217966864715), ('chorus', 0.016188997332521746)]"
BERT,Pop,80s,"[('baby', 0.06199351329130195), ('love', 0.04231769653254903), ('dont', 0.03578062137745338), ('heart', 0.03317791809020766), ('know', 0.03066455500799123), ('got', 0.0297266656815626), ('yeah', 0.029508965257839807), ('na', 0.029275027858188783), ('youre', 0.028748315824748596), ('give', 0.028080927672032796)]"
BERT,Pop,80s,"[('love', 0.05573136094421482), ('time', 0.048687742767702366), ('heart', 0.04270532944600582), ('never', 0.03710862861668894), ('know', 0.03325106353698073), ('hold', 0.031207164130736688), ('look', 0.03114921920716608), ('together', 0.027524184375998264), ('im', 0.027325903620341953), ('forever', 0.027207527550331307)]"
BERT,Pop,80s,"[('lord', 0.10104948932530505), ('exalted', 0.05959335545337667), ('shall', 0.054516332834948125), ('us', 0.050317527205266284), ('give', 0.04915507463405196), ('worship', 0.04906783739127297), ('power', 0.0373048049748828), ('light', 0.03612059919448687), ('jesus', 0.03483749791035127), ('every', 0.03442802409188193)]"
BERT,Pop,80s,"[('love', 0.14280112558748315), ('changes', 0.06651824833243511), ('dare', 0.04423996813245551), ('say', 0.04001651750478334), ('foolish', 0.0397477678737746), ('everything', 0.036872025342582285), ('know', 0.03216472718346303), ('care', 0.031756676468150405), ('living', 0.031114450514402814), ('home', 0.02830639982641247)]"
BERT,Pop,80s,"[('cat', 0.11182099323191509), ('cats', 0.10119546849487493), ('jellicle', 0.09642426988208606), ('jellicles', 0.05783653365903831), ('company', 0.05735943456263918), ('mungojerrie', 0.051293119652947666), ('rumpelteazer', 0.050181323073790904), ('bark', 0.04568082368367439), ('tum', 0.04566729919101778), ('tugger', 0.04566729919101778)]"
BERT,Pop,80s,"[('christine', 0.1245590792342808), ('phantom', 0.09627000741476088), ('raoul', 0.09534702373615475), ('firmin', 0.07275849757482984), ('andre', 0.061509687309666564), ('carlotta', 0.05129176075899852), ('giry', 0.04867757216094126), ('angel', 0.0464098281282452), ('opera', 0.038922970296969776), ('music', 0.029069325870434867)]"
BERT,Pop,80s,"[('picture', 0.06630412325042237), ('skies', 0.05801610784411957), ('wind', 0.056799768845989425), ('saw', 0.0494589182635207), ('first', 0.048752446162835604), ('beneath', 0.04836862243345645), ('wings', 0.045352477797628174), ('fly', 0.04409541175732157), ('beach', 0.043524942421980364), ('moon', 0.043198773107024475)]"
BERT,Pop,80s,"[('woods', 0.10816279756302268), ('cinderella', 0.10467222115031793), ('baker', 0.09731906521803725), ('wife', 0.07566472281302641), ('prince', 0.06703514570460305), ('spoken', 0.06470265264161042), ('jack', 0.06321948047628428), ('wish', 0.050471094946190634), ('witch', 0.04599123121524854), ('cinderellas', 0.03686973114989445)]"
BERT,Pop,80s,"[('seymour', 0.21210431987913242), ('audrey', 0.13984142059728358), ('spoken', 0.0900094778960719), ('ii', 0.07113677858246452), ('mushnik', 0.056851387785602316), ('plant', 0.05206038144312373), ('feed', 0.043309415401191965), ('urchins', 0.039129035079861416), ('sung', 0.02695946902357101), ('come', 0.025093600694899475)]"
BERT,Pop,80s,"[('time', 0.11420653355279693), ('ago', 0.09459947522577647), ('long', 0.05559329076872681), ('bonny', 0.05135282497257523), ('loong', 0.05135282497257523), ('night', 0.04889297468436413), ('heels', 0.0469886142310782), ('hours', 0.035408437258737636), ('live', 0.03525645195955916), ('lost', 0.03214174947736557)]"
BERT,Pop,80s,"[('marius', 0.12614967972172073), ('valjean', 0.0994223920435641), ('cosette', 0.08060102077427048), ('thenardier', 0.0671289503088367), ('eponine', 0.06671737814496212), ('javert', 0.055936928935783406), ('heres', 0.03421830725331241), ('look', 0.03143361912971236), ('life', 0.028024610302577208), ('bring', 0.026828342331958306)]"
BERT,Pop,80s,"[('move', 0.12281841482413723), ('hush', 0.09903392449127411), ('voices', 0.06392032431567353), ('carry', 0.060146030703506104), ('bye', 0.05276831076995111), ('love', 0.05176735673077906), ('take', 0.05121304240823214), ('chorus', 0.049949691605801934), ('dont', 0.04931915392487651), ('im', 0.047422323608954306)]"
BERT,Pop,80s,"[('works', 0.07300692158376583), ('sweep', 0.07035510330172716), ('hard', 0.06974068425872137), ('money', 0.06433790122327966), ('door', 0.06170162702549772), ('holiday', 0.060123347186630684), ('celebrate', 0.05370128019300744), ('around', 0.053003973741437185), ('chorus', 0.04346499480083817), ('front', 0.03736044063925067)]"
BERT,Pop,80s,"[('want', 0.09281637483706873), ('hurt', 0.09216672960114558), ('illusion', 0.0822169457432873), ('cry', 0.07790143267710974), ('mean', 0.07487909318807426), ('really', 0.07128159563221262), ('die', 0.0657663314491077), ('make', 0.06425369043834983), ('mercy', 0.06166270930746548), ('never', 0.057900321150290965)]"
