Method,Genre,Decade,Topic
BERT,Rap,70s,"[('im', 0.0581961536104272), ('rock', 0.04902448194247546), ('dont', 0.04826986194286328), ('say', 0.04680967395321897), ('got', 0.036434284208507896), ('go', 0.03440718002199503), ('said', 0.0341862162636782), ('na', 0.0332488821395813), ('cause', 0.031179821111653978), ('stop', 0.030830140089616834)]"
BERT,Rap,70s,"[('gil', 0.12151400023453168), ('scottheron', 0.12059163704227538), ('dot', 0.07399030330145288), ('yeah', 0.07302572349951661), ('verse', 0.0680214485792413), ('people', 0.0539358882354856), ('know', 0.04718330652022616), ('music', 0.04411085686834448), ('trane', 0.04167053245018906), ('dit', 0.041060702109690414)]"
BERT,Rap,80s,"[('im', 0.024574168743431837), ('got', 0.020298620376224857), ('dont', 0.01873774539434172), ('know', 0.018521817394949548), ('cause', 0.017829684348934064), ('go', 0.016196948376311904), ('say', 0.016194427524799295), ('verse', 0.016090606355727646), ('said', 0.01548419004387928), ('man', 0.014950940022131985)]"
BERT,Rap,80s,"[('im', 0.04388046324880239), ('cause', 0.0284412467740684), ('rap', 0.023216634424234682), ('dont', 0.022996322142736714), ('rhymes', 0.018838193050532023), ('youre', 0.017286017377512668), ('verse', 0.0172071777958703), ('got', 0.017109322639314712), ('know', 0.01689791179237203), ('say', 0.016570160234447448)]"
BERT,Rap,80s,"[('beat', 0.037625331523414546), ('rock', 0.03680760220001801), ('hey', 0.035538139225324845), ('boogie', 0.03108969657404145), ('funky', 0.02988176819938446), ('say', 0.027969643105276748), ('boom', 0.0263927038770341), ('play', 0.026074302417245857), ('im', 0.02562515267376161), ('na', 0.02513433206119051)]"
BERT,Rap,80s,"[('money', 0.039759143183731936), ('man', 0.029416528296723612), ('got', 0.026313540379402717), ('youre', 0.02456126657622457), ('geto', 0.024327763096979798), ('clack', 0.02324475874533604), ('dont', 0.023177597201419712), ('boy', 0.02030332632295231), ('said', 0.01966855470563843), ('around', 0.019366727397162192)]"
BERT,Rap,80s,"[('love', 0.08884000235362031), ('dont', 0.04031366871446739), ('girl', 0.039839755267554795), ('veronica', 0.03978175630003387), ('one', 0.03008099635203011), ('youre', 0.02995902085192677), ('im', 0.028582156600612283), ('baby', 0.028069290891017725), ('different', 0.0261656855380188), ('want', 0.02577794788053686)]"
BERT,Rap,80s,"[('already', 0.038113163397741054), ('dead', 0.03682123037105445), ('world', 0.03612189692455628), ('peace', 0.033595220818760256), ('ghetto', 0.027251356541663985), ('dont', 0.02566699165203335), ('want', 0.022489178698240405), ('wake', 0.02239104722396573), ('theyre', 0.021770462536263954), ('got', 0.020249478177323248)]"
BERT,Rap,80s,"[('flavor', 0.05875367343863084), ('flav', 0.05380951015824465), ('chuck', 0.053744359071425586), ('got', 0.04724781417526024), ('fight', 0.032167168178908176), ('im', 0.03122102909921103), ('em', 0.031057614187956023), ('know', 0.028715830753097627), ('dont', 0.028220168187389615), ('one', 0.02656444362376696)]"
BERT,Rap,80s,"[('black', 0.09526429661866533), ('afrika', 0.04515681632739769), ('destruction', 0.040061398071626377), ('jungle', 0.03326279157029658), ('jimbrowski', 0.02923862880317617), ('self', 0.02907335679156584), ('youre', 0.027837386975788758), ('man', 0.026460690847826793), ('brothers', 0.025887120109482055), ('brother', 0.02586372296202704)]"
BERT,Rap,80s,"[('erick', 0.04690293348375232), ('sermon', 0.04492416190883679), ('go', 0.03747008849724926), ('parrish', 0.032886784254234136), ('im', 0.029321577167025218), ('smith', 0.02887338917222991), ('pmd', 0.028756294569734664), ('flow', 0.024210419939560215), ('thang', 0.019688560834618198), ('mc', 0.01849998028282449)]"
BERT,Rap,80s,"[('ren', 0.08960462794602288), ('dre', 0.06489642684282358), ('dr', 0.04741642295327092), ('mc', 0.04301018645642303), ('im', 0.04203407734571188), ('eazy', 0.03785875721154325), ('compton', 0.037206020018240776), ('eazye', 0.036227276657064794), ('yeah', 0.028896364299366546), ('cause', 0.027087992594904225)]"
BERT,Rap,80s,"[('prince', 0.07623716065021123), ('jeff', 0.052566904422014976), ('kool', 0.03745401126369698), ('markie', 0.03252733702305501), ('fresh', 0.03205713758886503), ('rockski', 0.02794890314756265), ('ready', 0.027853904229669615), ('said', 0.02708524606998974), ('rock', 0.026338948967525897), ('im', 0.026030204151045292)]"
BERT,Rap,80s,"[('dmc', 0.14284874949488915), ('run', 0.12377199906816701), ('rundmc', 0.06709580753479136), ('jay', 0.053286203309700436), ('rund', 0.0508515378127909), ('shut', 0.035539350089073996), ('talk', 0.03452541567773627), ('rock', 0.03303387202654608), ('im', 0.03126567796854563), ('master', 0.028811413357146647)]"
BERT,Rap,80s,"[('bomb', 0.12573319416878223), ('flop', 0.11616844410711143), ('drop', 0.10637661368209528), ('diddy', 0.08450597536872417), ('fo', 0.0631459702899656), ('wah', 0.06281343710683215), ('bros', 0.06064717784510066), ('hoe', 0.05809785806599786), ('doo', 0.05775980508222456), ('ha', 0.05082559766001653)]"
BERT,Rap,80s,"[('amityville', 0.08405486942540707), ('sally', 0.07755751552729906), ('girl', 0.06393234046159675), ('man', 0.041719880877679666), ('hill', 0.03744594100441031), ('said', 0.0346123234863231), ('house', 0.03392115424178756), ('tha', 0.027958840134849124), ('way', 0.025977989114879845), ('named', 0.025907534982893464)]"
BERT,Rap,80s,"[('beepers', 0.048350971280882636), ('game', 0.04548483350319026), ('baby', 0.04076588751227257), ('pager', 0.03565691373959285), ('cause', 0.033590965215301236), ('sky', 0.03312204543053807), ('got', 0.03276268909527135), ('getget', 0.031169012005971206), ('freak', 0.031064482897185573), ('girl', 0.030747121366064535)]"
BERT,Rap,80s,"[('doug', 0.028864076338399536), ('round', 0.028068282842266194), ('three', 0.025439532535434704), ('im', 0.025396019205040282), ('one', 0.023848902991652255), ('syndicate', 0.022985848847201423), ('uh', 0.02204537610018814), ('party', 0.020435896972798892), ('way', 0.020286145595046556), ('fresh', 0.01954955595423803)]"
BERT,Rap,90s,"[('im', 0.027148705132380643), ('got', 0.02250121822508708), ('dont', 0.018438799320324044), ('know', 0.018311902619778237), ('verse', 0.017743166399912132), ('cause', 0.01771038597333192), ('man', 0.01485473459831167), ('come', 0.014270693485443103), ('aint', 0.013883490489230177), ('yeah', 0.013576042461095571)]"
BERT,Rap,90s,"[('got', 0.028999266361159605), ('baby', 0.026777665892227246), ('im', 0.026263319045879883), ('ta', 0.025373553035459857), ('ne', 0.022382986657418925), ('girl', 0.02222379348756419), ('yeah', 0.021436863396279263), ('know', 0.021146779317784716), ('na', 0.020247801069089702), ('ho', 0.018883514009115306)]"
BERT,Rap,90s,"[('wiggy', 0.032929007291973206), ('got', 0.027870640798426858), ('im', 0.026534699493339066), ('em', 0.02621890752078116), ('dont', 0.02521165998859995), ('cause', 0.01902769081646996), ('aint', 0.018544111604542595), ('back', 0.018479229700828895), ('verse', 0.018130631980413058), ('put', 0.01699352605372696)]"
