Method,Genre,Decade,Topic
BERT,Rock,70s,"[('verse', 0.06414624599044552), ('chorus', 0.050283175252062516), ('im', 0.04406848480478383), ('dont', 0.043027248954417785), ('love', 0.041632331270191544), ('got', 0.03985784862161757), ('know', 0.03713127418525004), ('yeah', 0.03256935486411024), ('come', 0.027860631604468323), ('youre', 0.02768042724523498)]"
BERT,Rock,70s,"[('roger', 0.17329143350055887), ('waters', 0.16995053964333207), ('gilmour', 0.11885935174875695), ('david', 0.11525256200792171), ('verse', 0.0719586987673688), ('run', 0.06700355009845282), ('ooh', 0.05724277640248971), ('need', 0.047181202543628585), ('dont', 0.0402360609161634), ('youre', 0.03969326305180876)]"
BERT,Rock,80s,"[('verse', 0.033949553018948114), ('chorus', 0.031294094565058), ('dont', 0.02719227771921028), ('im', 0.02585406912155666), ('love', 0.02345613679397359), ('know', 0.0218389734223056), ('got', 0.020137085359127928), ('say', 0.019882765655664575), ('one', 0.01959411904660684), ('youre', 0.019464283242416273)]"
BERT,Rock,80s,"[('dont', 0.05057339817507016), ('im', 0.047422226138320964), ('baby', 0.04066476990592669), ('chorus', 0.03945694916907851), ('yeah', 0.03770466133978942), ('got', 0.036217072800625034), ('verse', 0.03477911624219921), ('know', 0.029466367722634855), ('youre', 0.027528961424782925), ('love', 0.02612287093914337)]"
BERT,Rock,80s,"[('nah', 0.039563586615674114), ('rock', 0.03878741661174668), ('got', 0.03490827263466167), ('na', 0.031204249709310787), ('yeah', 0.029285445146604454), ('chorus', 0.028428538799867672), ('im', 0.027735702469320177), ('verse', 0.02603450189554999), ('dont', 0.025204573794129347), ('dance', 0.024837457769269336)]"
BERT,Rock,80s,"[('verse', 0.05628410444984628), ('beautiful', 0.03348706432400442), ('chorus', 0.03159654972258276), ('eyes', 0.029939333500663967), ('forever', 0.02844557807102147), ('away', 0.027829503441847425), ('time', 0.025346013625332835), ('see', 0.024962131184982486), ('day', 0.021137772934706957), ('calling', 0.019647667489429487)]"
BERT,Rock,80s,"[('love', 0.10167894997094222), ('heart', 0.0553217822416741), ('im', 0.0543079335225876), ('na', 0.04190591968537489), ('know', 0.041267478190182616), ('one', 0.039976298127220374), ('youre', 0.03436923805629624), ('time', 0.0338202796595564), ('chorus', 0.0325696292850484), ('ive', 0.031977189200673946)]"
BERT,Rock,80s,"[('death', 0.051093469897023215), ('wall', 0.04691677486987972), ('die', 0.04005445804628042), ('verse', 0.03950064358735227), ('shall', 0.039289907089255165), ('blood', 0.032797381835287034), ('burnin', 0.03228625208325839), ('chorus', 0.03119456242143949), ('thou', 0.030899414941424917), ('life', 0.026462467560227437)]"
BERT,Rock,80s,"[('said', 0.031871956939924756), ('end', 0.027743428482453043), ('pol', 0.027695815990596395), ('lot', 0.02608981461310299), ('time', 0.02607344076830527), ('entries', 0.02535812784937024), ('tempted', 0.025178014536905814), ('didnt', 0.023970950137506025), ('care', 0.02330647534483065), ('job', 0.022496219481020027)]"
BERT,Rock,80s,"[('dj', 0.10791351985739914), ('hang', 0.0965179996712182), ('wild', 0.08204204688797387), ('whip', 0.08079259134281513), ('spellbound', 0.05712021194529774), ('come', 0.04558328706125819), ('entranced', 0.045048276781078055), ('parties', 0.04407093348359226), ('entertainment', 0.04407093348359226), ('oohooh', 0.041857808662255525)]"
