Method,Genre,Decade,Topic
BERT,Pop,70s,"[('eva', 0.14631422448447456), ('peron', 0.07444567223673429), ('buenos', 0.06731907333580772), ('aires', 0.06731907333580772), ('argentina', 0.05983773937911943), ('magaldi', 0.05793570493759827), ('che', 0.05708173871720928), ('ch', 0.05175479244730074), ('one', 0.047208248540838424), ('im', 0.03834571977761422)]"
BERT,Pop,70s,"[('love', 0.05194760928458131), ('im', 0.0355852958031861), ('dont', 0.03202769745392841), ('know', 0.02994262071144814), ('verse', 0.029833309387392704), ('got', 0.028328225945621652), ('go', 0.027348493470344834), ('chorus', 0.02569089565971871), ('baby', 0.02537624209888), ('one', 0.024240597925433826)]"
BERT,Pop,70s,"[('christmas', 0.4624367459056178), ('merry', 0.2381375246792755), ('wish', 0.13743474413019355), ('happy', 0.11346027824512381), ('mister', 0.10043221912776018), ('snow', 0.09800969139748746), ('holidays', 0.08929020790771136), ('miser', 0.08257585331448153), ('lord', 0.08038314574397806), ('someday', 0.06818065488520866)]"
BERT,Pop,80s,"[('love', 0.02513730457829168), ('im', 0.024265102613486595), ('chorus', 0.023169098864808616), ('verse', 0.022485591957913786), ('dont', 0.021018321466499543), ('know', 0.020370458535161787), ('never', 0.016651635576192023), ('youre', 0.01584145164015521), ('day', 0.014827569048571765), ('one', 0.014752476987695481)]"
BERT,Pop,80s,"[('baby', 0.0755963486867856), ('love', 0.04698189049283943), ('dont', 0.039255581798640304), ('know', 0.03429519283418439), ('na', 0.034148412526649324), ('heart', 0.033555749732301826), ('youre', 0.033538419104266394), ('got', 0.03249197545807443), ('yeah', 0.029570572609704478), ('chorus', 0.029097480811502926)]"
BERT,Pop,80s,"[('hot', 0.06608628450908663), ('got', 0.03415838846755865), ('yeah', 0.03145242997703906), ('dha', 0.02974716971519416), ('come', 0.02733725440045584), ('na', 0.027071230807480817), ('funk', 0.02530621611691958), ('go', 0.022022303140454298), ('party', 0.02170029071379472), ('night', 0.021531381621095427)]"
BERT,Pop,80s,"[('time', 0.05938217300816683), ('love', 0.05667201136529707), ('never', 0.04351502629079417), ('back', 0.042591501557129735), ('heart', 0.04013530191202473), ('could', 0.03604546949647524), ('know', 0.03448328339993844), ('forever', 0.03276072461538818), ('dont', 0.028963229598842812), ('im', 0.027777881182667327)]"
BERT,Pop,80s,"[('love', 0.04889770560870726), ('fall', 0.04272613586393006), ('moon', 0.040521234864166006), ('wonderful', 0.038268421201386425), ('verse', 0.03643047747325589), ('picture', 0.03238854028736352), ('colors', 0.03206813029205204), ('saw', 0.031129343622940613), ('sky', 0.0306052050360973), ('first', 0.029899365133280224)]"
BERT,Pop,80s,"[('lord', 0.09229196470183464), ('exalted', 0.06835711952340447), ('god', 0.05787309366709465), ('sperm', 0.056247559268198896), ('worship', 0.056247559268198896), ('us', 0.053388409206445366), ('power', 0.04635533036016409), ('every', 0.03852326284318293), ('light', 0.03769008885609642), ('shall', 0.03658128005773519)]"
BERT,Pop,80s,"[('cat', 0.11241538777116727), ('cats', 0.10166305172164183), ('jellicle', 0.09683947749030845), ('jellicles', 0.057987103873219745), ('company', 0.057650445543154794), ('mungojerrie', 0.051409063853934546), ('rumpelteazer', 0.05029171326725758), ('bark', 0.04578680168421144), ('rum', 0.045756159993389195), ('tum', 0.045756159993389195)]"
