Method,Genre,Decade,Topic
BiGrams,Pop,70s,"0.026*""love"" + 0.025*""chance"" + 0.015*""life"" + 0.014*""day"" + 0.010*""atake_chancechance"""
BiGrams,Pop,70s,"0.035*""love"" + 0.027*""chance"" + 0.023*""day"" + 0.014*""life"" + 0.012*""night"""
BiGrams,Pop,80s,"0.032*""love"" + 0.024*""time"" + 0.019*""girl"" + 0.018*""day"" + 0.016*""go"""
BiGrams,Pop,80s,"0.036*""love"" + 0.024*""time"" + 0.021*""baby"" + 0.021*""night"" + 0.019*""day"""
BiGrams,Pop,90s,"0.052*""love"" + 0.024*""baby"" + 0.022*""wanna"" + 0.014*""life"" + 0.014*""time"""
BiGrams,Pop,90s,"0.043*""love"" + 0.022*""baby"" + 0.016*""wanna"" + 0.015*""time"" + 0.013*""heart"""
BiGrams,Pop,00s,"0.041*""love"" + 0.025*""to"" + 0.020*""baby"" + 0.016*""go"" + 0.013*""wanna"""
BiGrams,Pop,00s,"0.034*""love"" + 0.019*""feel"" + 0.018*""day"" + 0.016*""to"" + 0.015*""wanna"""
BiGrams,Pop,10s,"0.040*""love"" + 0.029*""baby"" + 0.023*""night"" + 0.020*""feel"" + 0.020*""wanna"""
BiGrams,Pop,10s,"0.043*""love"" + 0.029*""baby"" + 0.028*""feel"" + 0.021*""night"" + 0.020*""wanna"""
BiGrams,Pop,20s,"0.026*""love"" + 0.018*""baby"" + 0.017*""time"" + 0.011*""wanna"" + 0.010*""prechorus"""
BiGrams,Pop,20s,"0.036*""love"" + 0.020*""time"" + 0.012*""baby"" + 0.012*""prechorus"" + 0.011*""feel"""
