Method,Genre,Decade,Topic
LDA,Rock,70s,"0.006*""one"" + 0.006*""state"" + 0.006*""man"" + 0.005*""production"" + 0.004*""political"""
LDA,Rock,70s,"0.008*""people"" + 0.007*""world"" + 0.006*""must"" + 0.005*""new"" + 0.005*""one"""
LDA,Rock,70s,"0.011*""v"" + 0.008*""2d"" + 0.007*""law"" + 0.006*""court"" + 0.005*""defendant"""
LDA,Rock,70s,"0.012*""v"" + 0.011*""u"" + 0.010*""court"" + 0.006*""luke"" + 0.006*""state"""
LDA,Rock,70s,"0.007*""one"" + 0.006*""know"" + 0.005*""man"" + 0.005*""go"" + 0.005*""michael"""
LDA,Rock,80s,"0.012*""court"" + 0.012*""v"" + 0.008*""state"" + 0.007*""u"" + 0.006*""2d"""
LDA,Rock,80s,"0.006*""war"" + 0.006*""people"" + 0.005*""one"" + 0.005*""jake"" + 0.004*""new"""
LDA,Rock,80s,"0.009*""case"" + 0.008*""said"" + 0.007*""one"" + 0.004*""back"" + 0.003*""ariel"""
LDA,Rock,80s,"0.008*""one"" + 0.004*""would"" + 0.004*""people"" + 0.003*""time"" + 0.003*""even"""
LDA,Rock,80s,"0.010*""know"" + 0.007*""one"" + 0.007*""go"" + 0.005*""say"" + 0.005*""right"""
LDA,Rock,90s,"0.008*""frasier"" + 0.007*""henry"" + 0.007*""simba"" + 0.007*""see"" + 0.006*""edina"""
LDA,Rock,90s,"0.007*""homer"" + 0.005*""know"" + 0.004*""one"" + 0.004*""man"" + 0.004*""katsuya"""
LDA,Rock,90s,"0.011*""stan"" + 0.011*""cartman"" + 0.009*""mr"" + 0.009*""kyle"" + 0.005*""jack"""
LDA,Rock,90s,"0.007*""one"" + 0.005*""would"" + 0.005*""said"" + 0.005*""know"" + 0.004*""time"""
LDA,Rock,90s,"0.017*""ross"" + 0.016*""know"" + 0.015*""monica"" + 0.014*""chandler"" + 0.014*""rachel"""
LDA,Rock,00s,"0.013*""man"" + 0.012*""know"" + 0.010*""harry"" + 0.008*""right"" + 0.006*""gon"""
LDA,Rock,00s,"0.008*""know"" + 0.007*""one"" + 0.005*""would"" + 0.005*""time"" + 0.005*""michael"""
LDA,Rock,00s,"0.020*""00"" + 0.016*""01"" + 0.010*""elle"" + 0.007*""johnny"" + 0.006*""shall"""
LDA,Rock,00s,"0.022*""ted"" + 0.011*""robin"" + 0.010*""marshall"" + 0.010*""barney"" + 0.010*""lily"""
LDA,Rock,00s,"0.011*""troy"" + 0.006*""gabriella"" + 0.006*""00pm"" + 0.006*""30pm"" + 0.005*""go"""
LDA,Rock,10s,"0.007*""one"" + 0.006*""said"" + 0.005*""know"" + 0.005*""would"" + 0.005*""love"""
LDA,Rock,10s,"0.009*""know"" + 0.008*""people"" + 0.007*""one"" + 0.006*""think"" + 0.005*""right"""
LDA,Rock,10s,"0.025*""2018"" + 0.012*""one"" + 0.005*""narrator"" + 0.004*""feat"" + 0.003*""black"""
LDA,Rock,10s,"0.005*""album"" + 0.004*""song"" + 0.004*""2"" + 0.004*""bond"" + 0.004*""one"""
LDA,Rock,10s,"0.007*""jon"" + 0.007*""stark"" + 0.006*""man"" + 0.006*""tyrion"" + 0.005*""king"""
LDA,Rock,20s,"0.018*""ft"" + 0.005*""wanda"" + 0.005*""know"" + 0.005*""lil"" + 0.004*""remix"""
LDA,Rock,20s,"0.018*""feat"" + 0.009*""1"" + 0.008*""2"" + 0.007*""live"" + 0.007*""new"""
LDA,Rock,20s,"0.037*""feature"" + 0.022*""2020"" + 0.022*""2021"" + 0.016*""2018"" + 0.015*""2019"""
LDA,Rock,20s,"0.008*""know"" + 0.007*""one"" + 0.005*""time"" + 0.004*""people"" + 0.004*""love"""
LDA,Rock,20s,"0.013*""song"" + 0.009*""album"" + 0.007*""music"" + 0.006*""genius"" + 0.006*""01"""
