Method,Genre,Decade,Topic
LDA,Misc,70s,"0.005*""black"" + 0.005*""michael"" + 0.005*""time"" + 0.004*""luke"" + 0.004*""people"""
LDA,Misc,70s,"0.007*""michael"" + 0.004*""day"" + 0.004*""time"" + 0.004*""love"" + 0.003*""people"""
LDA,Misc,70s,"0.006*""michael"" + 0.004*""time"" + 0.004*""luke"" + 0.004*""people"" + 0.003*""love"""
LDA,Misc,70s,"0.006*""michael"" + 0.005*""time"" + 0.004*""people"" + 0.004*""black"" + 0.004*""luke"""
LDA,Misc,70s,"0.005*""michael"" + 0.005*""time"" + 0.005*""luke"" + 0.005*""people"" + 0.004*""black"""
LDA,Misc,80s,"0.005*""time"" + 0.004*""people"" + 0.004*""woman"" + 0.004*""war"" + 0.003*""black"""
LDA,Misc,80s,"0.005*""time"" + 0.004*""people"" + 0.004*""war"" + 0.004*""woman"" + 0.003*""black"""
LDA,Misc,80s,"0.005*""time"" + 0.004*""people"" + 0.003*""white"" + 0.003*""black"" + 0.003*""woman"""
LDA,Misc,80s,"0.006*""people"" + 0.005*""time"" + 0.004*""war"" + 0.003*""court"" + 0.003*""black"""
LDA,Misc,80s,"0.006*""time"" + 0.005*""people"" + 0.003*""woman"" + 0.003*""black"" + 0.003*""war"""
LDA,Misc,90s,"0.008*""monica"" + 0.007*""ross"" + 0.006*""rachel"" + 0.006*""chandler"" + 0.005*""joey"""
LDA,Misc,90s,"0.007*""ross"" + 0.006*""time"" + 0.006*""monica"" + 0.006*""chandler"" + 0.005*""rachel"""
LDA,Misc,90s,"0.009*""ross"" + 0.006*""chandler"" + 0.006*""monica"" + 0.006*""joey"" + 0.005*""time"""
LDA,Misc,90s,"0.007*""ross"" + 0.006*""joey"" + 0.006*""monica"" + 0.006*""rachel"" + 0.006*""chandler"""
LDA,Misc,90s,"0.007*""ross"" + 0.006*""chandler"" + 0.006*""monica"" + 0.005*""rachel"" + 0.005*""time"""
LDA,Misc,00s,"0.008*""time"" + 0.008*""love"" + 0.006*""harry"" + 0.005*""people"" + 0.005*""cut"""
LDA,Misc,00s,"0.006*""love"" + 0.006*""time"" + 0.006*""to"" + 0.005*""people"" + 0.005*""harry"""
LDA,Misc,00s,"0.006*""time"" + 0.006*""to"" + 0.005*""love"" + 0.005*""harry"" + 0.004*""day"""
LDA,Misc,00s,"0.007*""love"" + 0.006*""time"" + 0.006*""to"" + 0.006*""harry"" + 0.005*""people"""
LDA,Misc,00s,"0.006*""love"" + 0.005*""to"" + 0.005*""time"" + 0.004*""harry"" + 0.004*""walk"""
LDA,Misc,10s,"0.006*""time"" + 0.006*""people"" + 0.005*""day"" + 0.004*""woman"" + 0.003*""leave"""
LDA,Misc,10s,"0.006*""time"" + 0.006*""people"" + 0.005*""adnan"" + 0.005*""day"" + 0.004*""love"""
LDA,Misc,10s,"0.006*""time"" + 0.006*""people"" + 0.005*""love"" + 0.004*""day"" + 0.003*""sarah"""
LDA,Misc,10s,"0.006*""time"" + 0.006*""people"" + 0.004*""talk"" + 0.004*""day"" + 0.004*""jay"""
LDA,Misc,10s,"0.008*""time"" + 0.005*""love"" + 0.004*""people"" + 0.004*""day"" + 0.004*""adnan"""
LDA,Misc,20s,"0.010*""ft"" + 0.007*""feature"" + 0.007*""love"" + 0.006*""song"" + 0.005*""remix"""
LDA,Misc,20s,"0.012*""ft"" + 0.007*""feature"" + 0.005*""love"" + 0.005*""time"" + 0.004*""remix"""
LDA,Misc,20s,"0.011*""ft"" + 0.008*""love"" + 0.006*""feature"" + 0.005*""remix"" + 0.004*""lil"""
LDA,Misc,20s,"0.022*""ft"" + 0.006*""feature"" + 0.005*""love"" + 0.004*""remix"" + 0.004*""wanda"""
LDA,Misc,20s,"0.011*""ft"" + 0.007*""love"" + 0.006*""time"" + 0.005*""feature"" + 0.004*""lil"""
