Method,Genre,Decade,Topic
LDA,Pop,70s,"0.002*""not"" + 0.002*""stop"" + 0.002*""til"" + 0.002*""love"" + 0.002*""force"""
LDA,Pop,70s,"0.002*""not"" + 0.002*""stop"" + 0.002*""force"" + 0.002*""love"" + 0.002*""til"""
LDA,Pop,70s,"0.052*""not"" + 0.040*""stop"" + 0.021*""force"" + 0.020*""til"" + 0.018*""love"""
LDA,Pop,70s,"0.002*""not"" + 0.002*""stop"" + 0.002*""til"" + 0.002*""love"" + 0.002*""stayin"""
LDA,Pop,70s,"0.002*""not"" + 0.002*""stop"" + 0.002*""til"" + 0.002*""force"" + 0.002*""come"""
LDA,Pop,80s,"0.048*""yeah"" + 0.032*""go"" + 0.027*""to"" + 0.026*""okay"" + 0.025*""annie"""
LDA,Pop,80s,"0.002*""yeah"" + 0.002*""okay"" + 0.002*""go"" + 0.002*""to"" + 0.002*""thriller"""
LDA,Pop,80s,"0.002*""yeah"" + 0.002*""go"" + 0.002*""annie"" + 0.002*""to"" + 0.002*""okay"""
LDA,Pop,80s,"0.003*""yeah"" + 0.003*""to"" + 0.003*""go"" + 0.002*""okay"" + 0.002*""annie"""
LDA,Pop,80s,"0.002*""yeah"" + 0.002*""to"" + 0.002*""go"" + 0.002*""okay"" + 0.002*""mamacoosah"""
LDA,Pop,90s,"0.003*""not"" + 0.003*""want"" + 0.003*""baby"" + 0.003*""tell"" + 0.003*""wanna"""
LDA,Pop,90s,"0.003*""not"" + 0.003*""wanna"" + 0.003*""want"" + 0.003*""baby"" + 0.003*""tell"""
LDA,Pop,90s,"0.003*""not"" + 0.003*""wanna"" + 0.003*""baby"" + 0.003*""want"" + 0.003*""tell"""
LDA,Pop,90s,"0.021*""not"" + 0.018*""want"" + 0.013*""wanna"" + 0.012*""baby"" + 0.010*""tell"""
LDA,Pop,90s,"0.052*""not"" + 0.039*""wanna"" + 0.038*""want"" + 0.036*""baby"" + 0.021*""tell"""
LDA,Pop,00s,"0.002*""halo"" + 0.002*""not"" + 0.002*""want"" + 0.002*""mum"" + 0.002*""know"""
LDA,Pop,00s,"0.044*""not"" + 0.039*""halo"" + 0.033*""want"" + 0.028*""love"" + 0.026*""mum"""
LDA,Pop,00s,"0.002*""not"" + 0.002*""want"" + 0.002*""halo"" + 0.002*""know"" + 0.002*""light"""
LDA,Pop,00s,"0.002*""not"" + 0.002*""want"" + 0.002*""mum"" + 0.002*""halo"" + 0.002*""love"""
LDA,Pop,00s,"0.002*""not"" + 0.002*""halo"" + 0.002*""want"" + 0.002*""light"" + 0.002*""face"""
LDA,Pop,10s,"0.002*""work"" + 0.002*""love"" + 0.002*""slay"" + 0.002*""thank"" + 0.002*""yeah"""
LDA,Pop,10s,"0.002*""work"" + 0.002*""slay"" + 0.002*""love"" + 0.002*""not"" + 0.002*""want"""
LDA,Pop,10s,"0.010*""work"" + 0.008*""not"" + 0.007*""slay"" + 0.006*""love"" + 0.005*""okay"""
LDA,Pop,10s,"0.036*""work"" + 0.032*""not"" + 0.028*""love"" + 0.022*""slay"" + 0.021*""get"""
LDA,Pop,10s,"0.002*""work"" + 0.002*""not"" + 0.002*""slay"" + 0.002*""okay"" + 0.002*""love"""
LDA,Pop,20s,"0.025*""not"" + 0.024*""know"" + 0.018*""cause"" + 0.015*""verse"" + 0.015*""chorus"""
LDA,Pop,20s,"0.002*""know"" + 0.002*""not"" + 0.002*""cause"" + 0.002*""chorus"" + 0.002*""good"""
LDA,Pop,20s,"0.002*""know"" + 0.002*""chorus"" + 0.002*""not"" + 0.002*""cause"" + 0.002*""verse"""
LDA,Pop,20s,"0.002*""not"" + 0.002*""know"" + 0.002*""cause"" + 0.002*""verse"" + 0.002*""remember"""
LDA,Pop,20s,"0.002*""not"" + 0.002*""know"" + 0.002*""cause"" + 0.002*""verse"" + 0.002*""good"""
