Method,Genre,Decade,Topic
LDA,Pop,70s,"0.016*""chance"" + 0.015*""love"" + 0.013*""day"" + 0.009*""light"" + 0.009*""life"""
LDA,Pop,70s,"0.017*""love"" + 0.015*""chance"" + 0.012*""day"" + 0.010*""bobby"" + 0.009*""life"""
LDA,Pop,70s,"0.022*""love"" + 0.014*""chance"" + 0.009*""day"" + 0.008*""to"" + 0.008*""life"""
LDA,Pop,70s,"0.020*""love"" + 0.017*""chance"" + 0.010*""day"" + 0.009*""bobby"" + 0.009*""night"""
LDA,Pop,70s,"0.024*""love"" + 0.022*""chance"" + 0.015*""day"" + 0.011*""life"" + 0.009*""bobby"""
LDA,Pop,80s,"0.025*""love"" + 0.016*""time"" + 0.014*""day"" + 0.012*""night"" + 0.012*""girl"""
LDA,Pop,80s,"0.022*""love"" + 0.016*""time"" + 0.013*""baby"" + 0.013*""girl"" + 0.013*""to"""
LDA,Pop,80s,"0.025*""love"" + 0.018*""time"" + 0.016*""day"" + 0.013*""night"" + 0.013*""girl"""
LDA,Pop,80s,"0.027*""love"" + 0.020*""time"" + 0.015*""girl"" + 0.015*""night"" + 0.012*""baby"""
LDA,Pop,80s,"0.023*""love"" + 0.016*""time"" + 0.015*""baby"" + 0.012*""girl"" + 0.012*""day"""
LDA,Pop,90s,"0.036*""love"" + 0.013*""wanna"" + 0.012*""baby"" + 0.009*""life"" + 0.009*""time"""
LDA,Pop,90s,"0.035*""love"" + 0.015*""baby"" + 0.012*""wanna"" + 0.009*""time"" + 0.009*""bog"""
LDA,Pop,90s,"0.035*""love"" + 0.016*""baby"" + 0.013*""wanna"" + 0.011*""time"" + 0.011*""life"""
LDA,Pop,90s,"0.025*""love"" + 0.015*""baby"" + 0.013*""wanna"" + 0.010*""time"" + 0.009*""feel"""
LDA,Pop,90s,"0.026*""love"" + 0.017*""baby"" + 0.012*""wanna"" + 0.010*""to"" + 0.009*""time"""
LDA,Pop,00s,"0.025*""love"" + 0.014*""to"" + 0.014*""baby"" + 0.011*""day"" + 0.010*""feel"""
LDA,Pop,00s,"0.028*""love"" + 0.017*""to"" + 0.012*""baby"" + 0.011*""feel"" + 0.010*""go"""
LDA,Pop,00s,"0.022*""love"" + 0.013*""to"" + 0.012*""wanna"" + 0.012*""feel"" + 0.011*""day"""
LDA,Pop,00s,"0.027*""love"" + 0.014*""to"" + 0.013*""baby"" + 0.011*""wanna"" + 0.010*""time"""
LDA,Pop,00s,"0.028*""love"" + 0.013*""to"" + 0.012*""baby"" + 0.012*""go"" + 0.010*""day"""
LDA,Pop,10s,"0.030*""love"" + 0.020*""baby"" + 0.017*""feel"" + 0.016*""night"" + 0.012*""prechorus"""
LDA,Pop,10s,"0.033*""love"" + 0.025*""baby"" + 0.015*""night"" + 0.013*""wanna"" + 0.013*""prechorus"""
LDA,Pop,10s,"0.030*""love"" + 0.019*""feel"" + 0.019*""baby"" + 0.016*""night"" + 0.015*""wanna"""
LDA,Pop,10s,"0.024*""love"" + 0.019*""baby"" + 0.018*""feel"" + 0.016*""night"" + 0.013*""wanna"""
LDA,Pop,10s,"0.030*""love"" + 0.019*""feel"" + 0.019*""baby"" + 0.017*""wanna"" + 0.014*""night"""
LDA,Pop,20s,"0.023*""love"" + 0.011*""feel"" + 0.010*""time"" + 0.010*""baby"" + 0.009*""prechorus"""
LDA,Pop,20s,"0.026*""love"" + 0.011*""time"" + 0.010*""prechorus"" + 0.010*""baby"" + 0.008*""wanna"""
LDA,Pop,20s,"0.016*""love"" + 0.013*""time"" + 0.009*""baby"" + 0.008*""feel"" + 0.008*""day"""
LDA,Pop,20s,"0.017*""love"" + 0.012*""baby"" + 0.011*""time"" + 0.009*""wanna"" + 0.008*""bridge"""
LDA,Pop,20s,"0.021*""love"" + 0.014*""time"" + 0.008*""baby"" + 0.008*""wanna"" + 0.008*""prechorus"""
