Method,Genre,Decade,Topic
LDA,Rap,70s,"0.009*""gil"" + 0.009*""scott"" + 0.009*""heron"" + 0.008*""music"" + 0.008*""love"""
LDA,Rap,70s,"0.026*""mi"" + 0.022*""say"" + 0.021*""di"" + 0.015*""love"" + 0.013*""man"""
LDA,Rap,70s,"0.009*""say"" + 0.009*""new"" + 0.008*""said"" + 0.008*""know"" + 0.008*""dot"""
LDA,Rap,70s,"0.026*""rock"" + 0.012*""stop"" + 0.012*""beat"" + 0.011*""ya"" + 0.011*""say"""
LDA,Rap,70s,"0.011*""give"" + 0.009*""black"" + 0.009*""dance"" + 0.008*""good"" + 0.008*""know"""
LDA,Rap,80s,"0.013*""said"" + 0.012*""know"" + 0.010*""girl"" + 0.009*""rock"" + 0.008*""man"""
LDA,Rap,80s,"0.008*""funky"" + 0.008*""play"" + 0.008*""go"" + 0.007*""one"" + 0.007*""dumb"""
LDA,Rap,80s,"0.018*""mi"" + 0.011*""di"" + 0.011*""love"" + 0.008*""boogie"" + 0.008*""eazy"""
LDA,Rap,80s,"0.012*""cause"" + 0.008*""man"" + 0.007*""one"" + 0.007*""know"" + 0.006*""say"""
LDA,Rap,80s,"0.011*""cause"" + 0.009*""say"" + 0.009*""rock"" + 0.009*""know"" + 0.008*""go"""
LDA,Rap,90s,"0.010*""cause"" + 0.009*""know"" + 0.007*""see"" + 0.006*""come"" + 0.006*""back"""
LDA,Rap,90s,"0.012*""em"" + 0.011*""know"" + 0.009*""money"" + 0.008*""cause"" + 0.007*""man"""
LDA,Rap,90s,"0.020*""uh"" + 0.009*""know"" + 0.008*""huh"" + 0.007*""go"" + 0.006*""chorus"""
LDA,Rap,90s,"0.005*""one"" + 0.005*""cause"" + 0.005*""know"" + 0.004*""wiggy"" + 0.004*""bad"""
LDA,Rap,90s,"0.007*""man"" + 0.006*""one"" + 0.005*""check"" + 0.005*""know"" + 0.005*""wu"""
LDA,Rap,00s,"0.008*""cause"" + 0.007*""never"" + 0.006*""da"" + 0.006*""know"" + 0.005*""life"""
LDA,Rap,00s,"0.013*""know"" + 0.011*""back"" + 0.008*""baby"" + 0.008*""love"" + 0.007*""go"""
LDA,Rap,00s,"0.012*""let"" + 0.010*""uh"" + 0.010*""one"" + 0.010*""know"" + 0.008*""chorus"""
LDA,Rap,00s,"0.011*""know"" + 0.007*""let"" + 0.006*""man"" + 0.006*""cause"" + 0.006*""go"""
LDA,Rap,00s,"0.017*""go"" + 0.008*""money"" + 0.006*""right"" + 0.006*""man"" + 0.006*""know"""
LDA,Rap,10s,"0.009*""cause"" + 0.008*""know"" + 0.008*""never"" + 0.007*""back"" + 0.006*""go"""
LDA,Rap,10s,"0.011*""know"" + 0.009*""love"" + 0.006*""chorus"" + 0.006*""one"" + 0.005*""kanye"""
LDA,Rap,10s,"0.015*""know"" + 0.009*""chorus"" + 0.009*""love"" + 0.008*""go"" + 0.007*""time"""
LDA,Rap,10s,"0.010*""hamilton"" + 0.008*""know"" + 0.007*""burr"" + 0.007*""feel"" + 0.007*""chorus"""
LDA,Rap,10s,"0.015*""ayy"" + 0.013*""know"" + 0.010*""uh"" + 0.010*""chorus"" + 0.009*""ooh"""
LDA,Rap,20s,"0.010*""know"" + 0.009*""chorus"" + 0.008*""go"" + 0.007*""ooh"" + 0.006*""lil"""
LDA,Rap,20s,"0.011*""know"" + 0.010*""go"" + 0.008*""chorus"" + 0.007*""back"" + 0.007*""gon"""
LDA,Rap,20s,"0.013*""know"" + 0.008*""love"" + 0.008*""chorus"" + 0.006*""back"" + 0.006*""way"""
LDA,Rap,20s,"0.010*""uh"" + 0.009*""know"" + 0.009*""chorus"" + 0.006*""let"" + 0.006*""ayy"""
LDA,Rap,20s,"0.014*""know"" + 0.009*""want"" + 0.008*""go"" + 0.008*""chorus"" + 0.007*""one"""
