Method,Genre,Decade,Topic
LDA,Rap,70s,"0.022*""rock"" + 0.011*""time"" + 0.010*""love"" + 0.010*""to"" + 0.010*""beat"""
LDA,Rap,70s,"0.018*""rock"" + 0.010*""go"" + 0.010*""time"" + 0.010*""beat"" + 0.010*""love"""
LDA,Rap,70s,"0.027*""rock"" + 0.012*""time"" + 0.011*""to"" + 0.011*""ya"" + 0.010*""beat"""
LDA,Rap,70s,"0.021*""rock"" + 0.014*""time"" + 0.011*""love"" + 0.011*""ya"" + 0.010*""to"""
LDA,Rap,70s,"0.017*""rock"" + 0.014*""love"" + 0.010*""ya"" + 0.010*""beat"" + 0.010*""time"""
LDA,Rap,80s,"0.010*""rock"" + 0.010*""time"" + 0.009*""girl"" + 0.008*""rhyme"" + 0.007*""beat"""
LDA,Rap,80s,"0.010*""rock"" + 0.010*""yo"" + 0.008*""time"" + 0.007*""beat"" + 0.007*""rap"""
LDA,Rap,80s,"0.009*""time"" + 0.009*""rock"" + 0.008*""yo"" + 0.008*""girl"" + 0.006*""rhyme"""
LDA,Rap,80s,"0.009*""girl"" + 0.009*""time"" + 0.008*""rock"" + 0.008*""rhyme"" + 0.006*""beat"""
LDA,Rap,80s,"0.012*""rock"" + 0.011*""girl"" + 0.008*""time"" + 0.007*""to"" + 0.007*""beat"""
LDA,Rap,90s,"0.009*""yo"" + 0.008*""time"" + 0.007*""to"" + 0.007*""wanna"" + 0.006*""em"""
LDA,Rap,90s,"0.008*""em"" + 0.007*""to"" + 0.006*""yo"" + 0.006*""time"" + 0.006*""life"""
LDA,Rap,90s,"0.007*""yo"" + 0.007*""em"" + 0.006*""love"" + 0.006*""ya"" + 0.006*""wanna"""
LDA,Rap,90s,"0.010*""yo"" + 0.007*""time"" + 0.007*""love"" + 0.007*""to"" + 0.007*""em"""
LDA,Rap,90s,"0.010*""yo"" + 0.007*""em"" + 0.006*""love"" + 0.006*""to"" + 0.006*""time"""
LDA,Rap,00s,"0.009*""love"" + 0.007*""to"" + 0.007*""girl"" + 0.006*""baby"" + 0.006*""em"""
LDA,Rap,00s,"0.008*""love"" + 0.007*""girl"" + 0.007*""to"" + 0.007*""baby"" + 0.007*""time"""
LDA,Rap,00s,"0.008*""em"" + 0.008*""love"" + 0.008*""wanna"" + 0.007*""baby"" + 0.006*""to"""
LDA,Rap,00s,"0.009*""love"" + 0.008*""em"" + 0.008*""time"" + 0.008*""to"" + 0.007*""baby"""
LDA,Rap,00s,"0.008*""love"" + 0.008*""time"" + 0.007*""girl"" + 0.007*""wanna"" + 0.007*""em"""
LDA,Rap,10s,"0.009*""ayy"" + 0.009*""wanna"" + 0.009*""love"" + 0.007*""girl"" + 0.007*""gon"""
LDA,Rap,10s,"0.010*""love"" + 0.009*""ayy"" + 0.007*""baby"" + 0.007*""time"" + 0.006*""to"""
LDA,Rap,10s,"0.008*""love"" + 0.008*""em"" + 0.007*""wanna"" + 0.007*""girl"" + 0.007*""ayy"""
LDA,Rap,10s,"0.009*""love"" + 0.009*""time"" + 0.007*""em"" + 0.006*""money"" + 0.006*""to"""
LDA,Rap,10s,"0.009*""love"" + 0.007*""to"" + 0.007*""time"" + 0.007*""ayy"" + 0.007*""money"""
LDA,Rap,20s,"0.008*""love"" + 0.007*""ayy"" + 0.006*""em"" + 0.006*""to"" + 0.006*""lil"""
LDA,Rap,20s,"0.009*""love"" + 0.007*""ayy"" + 0.007*""wanna"" + 0.007*""baby"" + 0.007*""gon"""
LDA,Rap,20s,"0.008*""time"" + 0.007*""em"" + 0.007*""baby"" + 0.007*""gon"" + 0.007*""love"""
LDA,Rap,20s,"0.009*""lil"" + 0.009*""gon"" + 0.008*""time"" + 0.008*""love"" + 0.007*""ayy"""
LDA,Rap,20s,"0.008*""gon"" + 0.008*""love"" + 0.008*""time"" + 0.008*""ayy"" + 0.008*""em"""
