Method,Genre,Decade,Topic
LDA,Rock,70s,"0.012*""one"" + 0.009*""ya"" + 0.007*""lo"" + 0.007*""let"" + 0.007*""ah"""
LDA,Rock,70s,"0.023*""love"" + 0.014*""ah"" + 0.013*""know"" + 0.011*""come"" + 0.009*""1"""
LDA,Rock,70s,"0.011*""know"" + 0.009*""doo"" + 0.008*""night"" + 0.008*""back"" + 0.008*""baby"""
LDA,Rock,70s,"0.008*""way"" + 0.007*""take"" + 0.007*""man"" + 0.007*""bow"" + 0.007*""funk"""
LDA,Rock,70s,"0.021*""ooh"" + 0.021*""go"" + 0.012*""baby"" + 0.012*""lie"" + 0.007*""1"""
LDA,Rock,80s,"0.012*""rock"" + 0.010*""da"" + 0.010*""take"" + 0.008*""1"" + 0.008*""2"""
LDA,Rock,80s,"0.015*""ooh"" + 0.010*""let"" + 0.010*""say"" + 0.010*""know"" + 0.010*""ah"""
LDA,Rock,80s,"0.035*""love"" + 0.014*""girl"" + 0.011*""know"" + 0.010*""never"" + 0.008*""time"""
LDA,Rock,80s,"0.013*""one"" + 0.009*""back"" + 0.009*""know"" + 0.008*""2"" + 0.008*""1"""
LDA,Rock,80s,"0.014*""love"" + 0.013*""go"" + 0.011*""know"" + 0.009*""gon"" + 0.009*""want"""
LDA,Rock,90s,"0.014*""know"" + 0.012*""away"" + 0.008*""1"" + 0.008*""2"" + 0.007*""gon"""
LDA,Rock,90s,"0.012*""come"" + 0.011*""away"" + 0.010*""said"" + 0.007*""give"" + 0.007*""one"""
LDA,Rock,90s,"0.015*""know"" + 0.011*""never"" + 0.010*""1"" + 0.010*""one"" + 0.010*""2"""
LDA,Rock,90s,"0.019*""love"" + 0.011*""hey"" + 0.009*""say"" + 0.008*""come"" + 0.008*""one"""
LDA,Rock,90s,"0.019*""ooh"" + 0.017*""doo"" + 0.008*""want"" + 0.007*""2"" + 0.007*""1"""
LDA,Rock,00s,"0.010*""time"" + 0.009*""know"" + 0.008*""2"" + 0.008*""ooh"" + 0.008*""1"""
LDA,Rock,00s,"0.021*""know"" + 0.015*""let"" + 0.013*""go"" + 0.011*""love"" + 0.009*""one"""
LDA,Rock,00s,"0.028*""ah"" + 0.012*""tankian"" + 0.012*""serj"" + 0.011*""ooh"" + 0.010*""go"""
LDA,Rock,00s,"0.016*""never"" + 0.011*""say"" + 0.010*""know"" + 0.009*""way"" + 0.009*""take"""
LDA,Rock,00s,"0.010*""away"" + 0.009*""feel"" + 0.009*""one"" + 0.008*""back"" + 0.008*""wan"""
LDA,Rock,10s,"0.015*""know"" + 0.013*""go"" + 0.011*""one"" + 0.010*""cause"" + 0.010*""let"""
LDA,Rock,10s,"0.022*""ooh"" + 0.022*""love"" + 0.008*""know"" + 0.008*""1"" + 0.008*""2"""
LDA,Rock,10s,"0.012*""uh"" + 0.009*""believe"" + 0.008*""jesus"" + 0.006*""fight"" + 0.006*""2"""
LDA,Rock,10s,"0.013*""wan"" + 0.010*""woah"" + 0.009*""let"" + 0.008*""time"" + 0.008*""love"""
LDA,Rock,10s,"0.017*""know"" + 0.010*""let"" + 0.009*""love"" + 0.009*""hey"" + 0.009*""never"""
LDA,Rock,20s,"0.010*""know"" + 0.009*""go"" + 0.009*""see"" + 0.007*""need"" + 0.007*""time"""
LDA,Rock,20s,"0.013*""wan"" + 0.012*""want"" + 0.012*""love"" + 0.012*""go"" + 0.011*""know"""
LDA,Rock,20s,"0.008*""love"" + 0.007*""dead"" + 0.006*""life"" + 0.006*""run"" + 0.006*""woah"""
LDA,Rock,20s,"0.013*""know"" + 0.008*""never"" + 0.007*""1"" + 0.007*""2"" + 0.007*""gon"""
LDA,Rock,20s,"0.025*""ooh"" + 0.022*""ah"" + 0.010*""hey"" + 0.010*""know"" + 0.009*""feel"""
